start.station.id,end.station.name,dia.llegada,mes.llegada,año.llegada,Numero.viajes
3184,Grove St PATH,1,10,2020,2
3184,Grove St PATH,2,10,2020,2
3184,Grove St PATH,3,9,2019,3
3184,Grove St PATH,3,9,2020,1
3184,Grove St PATH,4,9,2019,5
3184,Grove St PATH,4,9,2020,4
3184,Grove St PATH,5,9,2019,3
3184,Grove St PATH,5,10,2020,2
3184,Grove St PATH,6,9,2019,2
3184,Grove St PATH,6,10,2020,1
3184,Grove St PATH,7,9,2020,1
3184,Grove St PATH,7,10,2020,2
3184,Grove St PATH,8,10,2020,1
3184,Grove St PATH,9,9,2019,3
3184,Grove St PATH,10,9,2019,2
3184,Grove St PATH,10,9,2020,1
3184,Grove St PATH,11,9,2019,2
3184,Grove St PATH,11,9,2020,2
3184,Grove St PATH,11,10,2020,1
3184,Grove St PATH,12,9,2019,1
3184,Grove St PATH,13,9,2019,2
3184,Grove St PATH,13,9,2020,3
3184,Grove St PATH,14,9,2019,1
3184,Grove St PATH,14,9,2020,1
3184,Grove St PATH,15,9,2019,2
3184,Grove St PATH,15,9,2020,1
3184,Grove St PATH,16,9,2019,3
3184,Grove St PATH,16,9,2020,1
3184,Grove St PATH,17,9,2020,1
3184,Grove St PATH,18,9,2019,2
3184,Grove St PATH,19,9,2019,3
3184,Grove St PATH,20,9,2019,2
3184,Grove St PATH,20,9,2020,2
3184,Grove St PATH,21,9,2020,2
3184,Grove St PATH,22,9,2019,3
3184,Grove St PATH,22,9,2020,2
3184,Grove St PATH,23,9,2019,1
3184,Grove St PATH,23,9,2020,2
3184,Grove St PATH,24,9,2020,2
3184,Grove St PATH,25,9,2019,5
3184,Grove St PATH,25,9,2020,1
3184,Grove St PATH,26,9,2019,1
3184,Grove St PATH,27,9,2019,2
3184,Grove St PATH,28,9,2019,2
3184,Grove St PATH,28,9,2020,3
3184,Grove St PATH,29,9,2020,1
3184,Grove St PATH,30,9,2019,1
3184,Grove St PATH,30,9,2020,1
3184,Hamilton Park,1,9,2019,1
3184,Hamilton Park,1,9,2020,1
3184,Hamilton Park,2,9,2019,1
3184,Hamilton Park,2,9,2020,1
3184,Hamilton Park,3,9,2019,2
3184,Hamilton Park,3,9,2020,3
3184,Hamilton Park,4,9,2019,5
3184,Hamilton Park,4,9,2020,1
3184,Hamilton Park,5,9,2019,1
3184,Hamilton Park,6,9,2020,1
3184,Hamilton Park,6,10,2020,2
3184,Hamilton Park,7,9,2019,1
3184,Hamilton Park,7,10,2020,3
3184,Hamilton Park,8,9,2019,1
3184,Hamilton Park,8,9,2020,2
3184,Hamilton Park,8,10,2020,2
3184,Hamilton Park,9,9,2019,4
3184,Hamilton Park,9,9,2020,2
3184,Hamilton Park,9,10,2020,1
3184,Hamilton Park,10,9,2019,1
3184,Hamilton Park,10,9,2020,1
3184,Hamilton Park,11,9,2019,1
3184,Hamilton Park,11,9,2020,1
3184,Hamilton Park,12,9,2020,1
3184,Hamilton Park,12,10,2020,1
3184,Hamilton Park,13,9,2019,2
3184,Hamilton Park,15,9,2020,2
3184,Hamilton Park,16,9,2019,7
3184,Hamilton Park,16,9,2020,3
3184,Hamilton Park,17,9,2019,3
3184,Hamilton Park,17,9,2020,2
3184,Hamilton Park,18,9,2019,5
3184,Hamilton Park,18,9,2020,2
3184,Hamilton Park,20,9,2019,4
3184,Hamilton Park,20,9,2020,1
3184,Hamilton Park,21,9,2020,5
3184,Hamilton Park,22,9,2020,1
3184,Hamilton Park,23,9,2019,4
3184,Hamilton Park,23,9,2020,1
3184,Hamilton Park,24,9,2019,3
3184,Hamilton Park,25,9,2019,1
3184,Hamilton Park,25,9,2020,1
3184,Hamilton Park,26,9,2019,2
3184,Hamilton Park,27,9,2019,1
3184,Hamilton Park,29,9,2020,1
3184,Hamilton Park,30,9,2019,3
3184,Hamilton Park,30,9,2020,1
3184,Harborside,1,10,2020,2
3184,Harborside,2,10,2020,1
3184,Harborside,3,9,2019,2
3184,Harborside,3,9,2020,1
3184,Harborside,4,10,2020,2
3184,Harborside,5,9,2019,1
3184,Harborside,5,9,2020,1
3184,Harborside,5,10,2020,1
3184,Harborside,6,10,2020,2
3184,Harborside,8,9,2019,1
3184,Harborside,8,9,2020,2
3184,Harborside,8,10,2020,2
3184,Harborside,9,9,2019,3
3184,Harborside,9,9,2020,2
3184,Harborside,9,10,2020,2
3184,Harborside,10,9,2019,2
3184,Harborside,10,9,2020,1
3184,Harborside,10,10,2020,1
3184,Harborside,11,10,2020,1
3184,Harborside,12,9,2019,3
3184,Harborside,12,9,2020,1
3184,Harborside,13,9,2020,1
3184,Harborside,13,10,2020,2
3184,Harborside,15,9,2019,1
3184,Harborside,16,9,2019,2
3184,Harborside,16,9,2020,1
3184,Harborside,17,9,2020,2
